,Provincias,Información de cada Provincia
0,,
1,Albacete,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Albacete presenta una media de 2.730 horas de sol anuales y de 1.818 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
2,Alicante/Alacant,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Alicante/Alacant presenta una media de 2.864 horas de sol anuales y de 1.843 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
3,Almeria,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Almeria presenta una media de 2.965 horas de sol anuales y de 1.931 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
4,Araba/Álava,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Araba/Álava presenta una media de 1.830 horas de sol anuales y de 1.387 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
5,Asturias,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Asturias presenta una media de 1.711 horas de sol anuales y de 1.303 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
6,Avila,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Avila presenta una media de 2.644 horas de sol anuales y de 1.690 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
7,Badajoz,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Badajoz presenta una media de 2.830 horas de sol anuales y de 1.832 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
8,"Balears, Illes","España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Balears, Illes presenta una media de 2.763 horas de sol anuales y de 1.741 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
9,Barcelona,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Barcelona presenta una media de 2.524 horas de sol anuales y de 1.664 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
